"filename", "language", "Markdown", "JSON", "Ini", "pip requirements", "JSON with Comments", "TOML", "Python", "Shell Script", "XML", "Draw.io", "CSV", "comment", "blank", "total"
"c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\bsm_file.py", "Python", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 45, 9, 136
"c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\bsm_file_tree.py", "Python", 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 58, 15, 270
"c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\budget_storage_model.py", "Python", 0, 0, 0, 0, 0, 0, 464, 0, 0, 0, 0, 386, 12, 862
"c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\csv_data_collection.py", "Python", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 76, 4, 157
"c:\Users\ppain\repos\python\p3_budman\src\budman_app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 10, 4, 26
"c:\Users\ppain\repos\python\p3_budman\src\budman_app\budman_app.py", "Python", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 114, 11, 305
"c:\Users\ppain\repos\python\p3_budman\src\budman_app\diagrams\budman_app_budman_app.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 406, 0, 0, 77, 1, 484
"c:\Users\ppain\repos\python\p3_budman\src\budman_app\diagrams\graph.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 406, 0, 0, 77, 1, 484
"c:\Users\ppain\repos\python\p3_budman\src\budman_cli_view\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 2, 23
"c:\Users\ppain\repos\python\p3_budman\src\budman_cli_view\budman_cli_output.py", "Python", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 49, 3, 132
"c:\Users\ppain\repos\python\p3_budman\src\budman_cli_view\budman_cli_parser.py", "Python", 0, 0, 0, 0, 0, 0, 742, 0, 0, 0, 0, 132, 48, 922
"c:\Users\ppain\repos\python\p3_budman\src\budman_cli_view\budman_cli_view.py", "Python", 0, 0, 0, 0, 0, 0, 256, 0, 0, 0, 0, 262, 12, 530
"c:\Users\ppain\repos\python\p3_budman\src\budman_cli_view\budman_command_help.md", "Markdown", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 89
"c:\Users\ppain\repos\python\p3_budman\src\budman_command_processor\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 10, 5, 39
"c:\Users\ppain\repos\python\p3_budman\src\budman_command_processor\budman_command_services.py", "Python", 0, 0, 0, 0, 0, 0, 685, 0, 0, 0, 0, 323, 10, 1018
"c:\Users\ppain\repos\python\p3_budman\src\budman_command_processor\budman_cp_namespace.py", "Python", 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 33, 11, 191
"c:\Users\ppain\repos\python\p3_budman\src\budman_data_context\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 2, 21
"c:\Users\ppain\repos\python\p3_budman\src\budman_data_context\budget_domain_model_data_context.py", "Python", 0, 0, 0, 0, 0, 0, 229, 0, 0, 0, 0, 187, 14, 430
"c:\Users\ppain\repos\python\p3_budman\src\budman_data_context\budman_app_data_context.py", "Python", 0, 0, 0, 0, 0, 0, 462, 0, 0, 0, 0, 303, 40, 805
